sample,position_read_start_s,position_read_end_s,velocity_read_end_s,write_start_s,write_end_s,telemetry_start_s,telemetry_end_s,joint,servo_id,valid,status,voltage_V,temperature_raw,load_word_raw,current_word_raw,moving_raw,feedback_position_word_raw,feedback_speed_word_raw,left_hip_yaw_target_rad,left_hip_roll_target_rad,left_hip_pitch_target_rad,left_knee_target_rad,left_ankle_target_rad,neck_pitch_target_rad,head_pitch_target_rad,head_yaw_target_rad,head_roll_target_rad,right_hip_yaw_target_rad,right_hip_roll_target_rad,right_hip_pitch_target_rad,right_knee_target_rad,right_ankle_target_rad,left_hip_yaw_actual_rad,left_hip_roll_actual_rad,left_hip_pitch_actual_rad,left_knee_actual_rad,left_ankle_actual_rad,neck_pitch_actual_rad,head_pitch_actual_rad,head_yaw_actual_rad,head_roll_actual_rad,right_hip_yaw_actual_rad,right_hip_roll_actual_rad,right_hip_pitch_actual_rad,right_knee_actual_rad,right_ankle_actual_rad,left_hip_yaw_velocity_rad_s,left_hip_roll_velocity_rad_s,left_hip_pitch_velocity_rad_s,left_knee_velocity_rad_s,left_ankle_velocity_rad_s,neck_pitch_velocity_rad_s,head_pitch_velocity_rad_s,head_yaw_velocity_rad_s,head_roll_velocity_rad_s,right_hip_yaw_velocity_rad_s,right_hip_roll_velocity_rad_s,right_hip_pitch_velocity_rad_s,right_knee_velocity_rad_s,right_ankle_velocity_rad_s
0,1.797389102000011,1.7995449090000193,1.7972494910000023,1.7995658899999967,1.7996927599999992,1.7997010380000233,1.8006674599999997,left_hip_pitch,22,1,0,7.1,28,0,0,0,1787,0,-0.005931392379824388,0.15856725315911913,0.0007060402239707497,-0.12578642460662248,-0.07669903939428213,-0.20862138715244738,-0.13192234775816525,-0.006865416237336941,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.00937432703707887,-0.13308135546456773,-0.05696181992348685,-0.005931392379824388,0.15856725315911913,0.0007060402239707497,-0.12578642460662248,-0.07669903939428213,-0.20862138715244738,-0.13192234775816525,-0.006865416237336941,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.00937432703707887,-0.13308135546456773,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
1,19.330607475000022,19.332710116000015,19.334817276000024,19.355960836999998,19.356247522000018,19.356266429000016,19.35801909,right_hip_pitch,12,1,0,7.0,28,1070,0,0,2107,0,0.0012881329748779535,0.10951499361544847,0.03831041045486927,-0.002208299934864044,0.002485617995262146,-0.20583258662372828,-0.12861724570393562,-0.0002578338608145714,-0.005979259964078665,-0.00017502903938293457,0.11029741447418928,0.042665024287998676,0.0,0.027375608682632446,-0.005931392379824388,0.13095559897717735,0.011443905739170479,-0.0,-0.07056311624273937,-0.21015536794033274,-0.13192234775816525,-0.006865416237336941,0.0053300719109731914,0.008044877020911438,0.1096434925641532,0.0032384038855365477,-0.010362892433716415,-0.058495800711372656,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2,19.36101284,19.363146314000005,19.36517453000002,19.367176968000024,19.367453151999996,19.367461652000003,19.368503093000015,left_knee,23,1,0,7.0,27,1180,4,1,2049,50,0.00792034505866468,0.11288101691752672,0.033139048144221306,-0.012088300660252571,-0.011616691946983337,-0.2112649166956544,-0.1237085722386837,-0.0040483176708221436,-0.0005105030722916126,-0.0016712555661797523,0.11161838751286268,0.04288766998797655,0.0,0.03542552888393402,-0.005931392379824388,0.13095559897717735,0.011443905739170479,-0.0,-0.07056311624273937,-0.21015536794033274,-0.13192234775816525,-0.006865416237336941,0.0053300719109731914,0.008044877020911438,0.1096434925641532,0.0032384038855365477,-0.011896873221601774,-0.058495800711372656,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.07671776931843206,0.0
3,19.38098466400001,19.38306965700002,19.385057373000024,19.38680116400002,19.387065033,19.387073348,19.38809414100001,right_knee,13,1,0,7.0,28,145,2,1,2062,0,0.00889647169969976,0.11244244407862425,0.031440312042832375,-0.013057094067335129,-0.010713070631027222,-0.2144950102083385,-0.1211664192378521,-0.001284595113247633,0.0010988968424499035,-0.0004526367411017418,0.11146490462124348,0.04465500358492136,0.0,0.03819827735424042,-0.005931392379824388,0.13095559897717735,0.011443905739170479,-0.004601942363656963,-0.0674951546669682,-0.21015536794033274,-0.13192234775816525,-0.006865416237336941,0.0053300719109731914,0.008044877020911438,0.1096434925641532,0.0032384038855365477,-0.011896873221601774,-0.058495800711372656,0.0,-0.0,-0.0,-0.07671776931843206,0.15343553863686413,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
4,19.401096025000015,19.40318414800001,19.405169771000004,19.406923524999996,19.407189709000022,19.40719943100001,19.408227521000015,left_ankle,24,1,0,6.9,28,167,3,1,2089,32868,-0.016186645021662116,0.09282509237527847,0.00660120090469718,-0.07171384990215302,-0.0619217399507761,-0.27393854409456253,-0.17042404413223267,0.034598540514707565,0.05522553250193596,0.009183567017316818,0.1202074522152543,0.11000861693173647,0.0,0.1100517213344574,-0.005931392379824388,0.13095559897717735,0.011443905739170479,-0.010737865515199285,-0.06442719309119704,-0.21015536794033274,-0.13192234775816525,-0.006865416237336941,0.0053300719109731914,0.006510896233025636,0.1096434925641532,0.004772384673421906,-0.016498815585258737,-0.05696181992348685,0.0,-0.0,-0.0,-0.30687107727372825,0.15343553863686413,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.07671776931843206,-0.15343553863686413,0.07671776931843206
5,19.42114651600002,19.423223269000005,19.425206336000002,19.426941238000012,19.42720560800001,19.42721383,19.428235381999997,right_ankle,14,1,0,6.6,28,1146,2,1,2047,100,-0.01994051388464868,0.08388753235340118,-0.01854470558464527,-0.09449203312397003,-0.06121261231601238,-0.28064877539873123,-0.19866326451301575,0.03759317472577095,0.07388529181480408,0.021170449443161488,0.10814959835261106,0.13230930734425783,0.0,0.13938410580158234,-0.005931392379824388,0.13095559897717735,0.011443905739170479,-0.01687378866674205,-0.05982525072754008,-0.21015536794033274,-0.13192234775816525,-0.006865416237336941,0.0053300719109731914,0.006510896233025636,0.1096434925641532,0.004772384673421906,-0.0211007579489157,-0.05389385834771569,0.0,-0.0,-0.0,-0.2301533079552962,0.2301533079552962,-0.0,-0.0,0.0,0.0,-0.07671776931843206,0.0,0.0,-0.2301533079552962,0.15343553863686413
6,19.441220914000013,19.443294796000004,19.44528414200002,19.446946803000003,19.447228746999997,19.447237709999996,19.448258742999997,left_hip_pitch,22,1,0,6.8,28,106,0,1,1777,32818,-0.02058913721702993,0.08133557438850403,-0.021806219592690468,-0.09775547683238983,-0.0593782514333725,-0.2788158804178238,-0.21640704572200775,0.038242876529693604,0.07542279362678528,0.02459163311868906,0.10225557908415794,0.1373409377411008,0.0,0.1420583575963974,-0.005931392379824388,0.13095559897717735,0.01451186731494164,-0.021475731030399015,-0.05522330836388312,-0.21168934872821854,-0.13038836697027945,-0.006865416237336941,0.0053300719109731914,0.006510896233025636,0.1096434925641532,0.00937432703707887,-0.025702700312572664,-0.05235987755982989,0.0,-0.0,0.07671776931843206,-0.30687107727372825,0.2301533079552962,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.2301533079552962,-0.30687107727372825,0.07671776931843206
7,19.461355868,19.463448306000004,19.465460225000015,19.46698601600002,19.46713566400001,19.467140849000003,19.468129198000014,right_hip_pitch,12,1,0,6.6,28,1270,4,1,2118,250,-0.021826628362759948,0.07686419039964676,-0.027404991909861565,-0.10228142142295837,-0.05760381743311882,-0.27838004380464554,-0.23036690801382065,0.039660993963479996,0.08081939816474915,0.027146863751113415,0.10139798745512962,0.147714008577168,0.0,0.15043288469314575,-0.005931392379824388,0.12635365661352083,0.020647790466483962,-0.02914563496982714,-0.04755340442445499,-0.21935925266764666,-0.13038836697027945,-0.006865416237336941,0.0053300719109731914,0.006510896233025636,0.1096434925641532,0.017044230976506994,-0.030304642676229628,-0.04929191598405873,0.0,-0.07671776931843206,0.30687107727372825,-0.2301533079552962,0.3835888465921603,-0.07671776931843206,0.07671776931843206,0.0,0.0,-0.0,0.0,0.3835888465921603,-0.07671776931843206,0.15343553863686413
8,19.481175266999998,19.483143853,19.485049642999996,19.486110584000016,19.486268084000017,19.486273658000016,19.487241970000014,left_knee,23,1,0,6.5,28,1232,4,1,2071,250,-0.0022220297250896692,0.10357782617211342,0.005281307268887758,-0.05616854503750801,-0.021961919963359833,-0.20975440926849842,-0.17661698907613754,-0.00022925715893507004,0.02660917118191719,0.026516306214034557,0.10193674825131893,0.08137377817183733,0.0,0.06287418305873871,-0.012067315531367154,0.12175171424986386,0.022181771254369764,-0.0337475773334841,-0.03988350048502687,-0.2300971181828464,-0.12885438618239364,-0.006865416237336941,0.0053300719109731914,0.006510896233025636,0.1096434925641532,0.02624811570382092,-0.030304642676229628,-0.041622012044630605,-0.15343553863686413,-0.15343553863686413,0.15343553863686413,-0.3835888465921603,0.3835888465921603,-0.4603066159105924,-0.0,0.0,0.0,-0.0,0.0,0.4603066159105924,-0.15343553863686413,0.30687107727372825
9,19.50123631300002,19.503203659000008,19.50511106000002,19.506150186000013,19.506305982000015,19.50631061200002,19.507282942000018,right_knee,13,1,0,6.5,28,1173,6,1,2050,32818,-0.0018881678115576506,0.10546824336051941,0.014383153058588505,-0.016295284032821655,0.006260138005018234,-0.21341851027682424,-0.1517075002193451,-0.011828547343611717,0.011047936044633389,0.0098926005885005,0.10935789532959461,0.08267100621014833,-0.0031333789229393005,0.03829607367515564,-0.012067315531367154,0.1140818103104353,0.023715752042255567,-0.04141748127291223,-0.0337475773334841,-0.23776702212227452,-0.12885438618239364,-0.0022634738736799775,0.006864052698858994,0.006510896233025636,0.1096434925641532,0.03545200043113485,-0.03183862346411543,-0.033952108105202036,-0.15343553863686413,-0.30687107727372825,0.07671776931843206,-0.2301533079552962,0.30687107727372825,-0.5370243852290244,0.07671776931843206,0.15343553863686413,0.15343553863686413,-0.0,0.0,0.4603066159105924,-0.07671776931843206,0.3835888465921603
