sample,position_read_start_s,position_read_end_s,velocity_read_end_s,write_start_s,write_end_s,telemetry_start_s,telemetry_end_s,joint,servo_id,valid,status,voltage_V,temperature_raw,load_word_raw,current_word_raw,moving_raw,feedback_position_word_raw,feedback_speed_word_raw,left_hip_yaw_target_rad,left_hip_roll_target_rad,left_hip_pitch_target_rad,left_knee_target_rad,left_ankle_target_rad,neck_pitch_target_rad,head_pitch_target_rad,head_yaw_target_rad,head_roll_target_rad,right_hip_yaw_target_rad,right_hip_roll_target_rad,right_hip_pitch_target_rad,right_knee_target_rad,right_ankle_target_rad,left_hip_yaw_actual_rad,left_hip_roll_actual_rad,left_hip_pitch_actual_rad,left_knee_actual_rad,left_ankle_actual_rad,neck_pitch_actual_rad,head_pitch_actual_rad,head_yaw_actual_rad,head_roll_actual_rad,right_hip_yaw_actual_rad,right_hip_roll_actual_rad,right_hip_pitch_actual_rad,right_knee_actual_rad,right_ankle_actual_rad,left_hip_yaw_velocity_rad_s,left_hip_roll_velocity_rad_s,left_hip_pitch_velocity_rad_s,left_knee_velocity_rad_s,left_ankle_velocity_rad_s,neck_pitch_velocity_rad_s,head_pitch_velocity_rad_s,head_yaw_velocity_rad_s,head_roll_velocity_rad_s,right_hip_yaw_velocity_rad_s,right_hip_roll_velocity_rad_s,right_hip_pitch_velocity_rad_s,right_knee_velocity_rad_s,right_ankle_velocity_rad_s
0,1.7210607769999982,1.7232220729999987,1.7209259249999995,1.7232441279999975,1.7233626659999999,1.7233701469999971,1.724334387999999,left_hip_pitch,22,1,0,7.1,28,0,0,0,1774,0,-0.00746537316771019,0.1140818103104353,0.020647790466483962,-0.007669903939428124,-0.07823302018216749,-0.20862138715244738,-0.13192234775816525,-0.0053314354494515825,0.003796091123087833,0.0034429346572544747,0.11117747335203901,0.01244228861285003,-0.007294930857945255,-0.05542783913560105,-0.00746537316771019,0.1140818103104353,0.020647790466483962,-0.007669903939428124,-0.07823302018216749,-0.20862138715244738,-0.13192234775816525,-0.0053314354494515825,0.003796091123087833,0.0034429346572544747,0.11117747335203901,0.01244228861285003,-0.007294930857945255,-0.05542783913560105,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
1,26.596262872999997,26.598224335999998,26.600135577,26.618086076999997,26.618231706,26.618241983999997,26.621684577,right_hip_pitch,12,1,0,6.8,28,0,0,0,2113,0,-0.004996525356546044,0.08751269429922104,0.0744804497808218,0.0,0.018475055694580078,-0.21906170342117548,-0.12950832396745682,-0.022048786282539368,-0.017465490847826004,-0.01734494138509035,0.10063663125038147,0.02200405392795801,-0.016712836921215057,0.012018024921417236,-0.005931392379824388,0.1140818103104353,0.022181771254369764,-0.007669903939428124,-0.07823302018216749,-0.20862138715244738,-0.13192234775816525,-0.0053314354494515825,0.003796091123087833,0.0034429346572544747,0.11271145413992437,0.01244228861285003,-0.005760950070059452,-0.05542783913560105,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2,26.622881095,26.624846891,26.626761595,26.627884391,26.628043003,26.628047854,26.629028799,left_knee,23,1,0,6.8,27,1131,2,1,2053,0,0.0048627599608153105,0.11028735060244799,0.04939574562013149,-0.0006053037941455841,0.0085030198097229,-0.21833725180476904,-0.12633417174220085,-0.01606174185872078,-0.011901922523975372,-0.014669864438474178,0.10823371168226004,0.02871029917150736,-0.00017562508583068848,0.018283896148204803,-0.005931392379824388,0.1140818103104353,0.022181771254369764,-0.007669903939428124,-0.07669903939428213,-0.20862138715244738,-0.13192234775816525,-0.0053314354494515825,0.003796091123087833,0.0034429346572544747,0.11271145413992437,0.01244228861285003,-0.007294930857945255,-0.05542783913560105,0.0,-0.0,-0.0,-0.0,0.07671776931843206,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.07671776931843206,0.0
3,26.643004557999998,26.644983002999997,26.646895742999998,26.647900521,26.648066335999996,26.648070576999995,26.649474391000002,right_knee,13,1,0,6.7,28,164,3,1,2065,0,0.0064297092612832785,0.10787229891866446,0.0455989558249712,0.0,0.006798669695854187,-0.22136419918388128,-0.12372656166553497,-0.013219162821769714,-0.009297714568674564,-0.013484575785696507,0.11077349446713924,0.02895658928900957,0.0,0.018560834228992462,-0.005931392379824388,0.1140818103104353,0.022181771254369764,-0.010737865515199285,-0.07209709703062517,-0.20862138715244738,-0.13192234775816525,-0.0053314354494515825,0.003796091123087833,0.0034429346572544747,0.11271145413992437,0.01244228861285003,-0.007294930857945255,-0.05542783913560105,0.0,-0.0,-0.0,-0.07671776931843206,0.15343553863686413,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
4,26.663156947,26.665123427999998,26.667043799,26.668033243,26.668194724999996,26.668199446999996,26.669176169,left_ankle,24,1,0,6.7,27,167,3,1,2090,32968,0.00655916309915483,0.10868165362626314,0.04271895997226238,0.0,0.0058998726308345795,-0.2224377328529954,-0.12245615944266319,-0.013519305735826492,-0.008062325417995453,-0.014291354455053806,0.11093731690198183,0.030133957974612713,0.0,0.017690151929855347,-0.005931392379824388,0.1140818103104353,0.022181771254369764,-0.015339807878856249,-0.0659611738790824,-0.20862138715244738,-0.13192234775816525,-0.0053314354494515825,0.003796091123087833,0.0019089538693686722,0.11271145413992437,0.013976269400735833,-0.011896873221601774,-0.05542783913560105,0.0,-0.0,-0.0,-0.15343553863686413,0.30687107727372825,-0.0,-0.0,0.0,0.0,-0.07671776931843206,0.0,0.07671776931843206,0.0,0.0
5,26.683212705999996,26.685171039999997,26.687102872999997,26.688085298999997,26.688245853999998,26.688250391,26.689225742999998,right_ankle,14,1,0,6.7,28,1165,3,1,2046,0,0.007095501525327563,0.10965710412710905,0.041814351454377174,-0.0005214139819145203,0.005097445100545883,-0.22420880571007729,-0.12213429436087608,-0.015105504542589188,-0.0072133406065404415,-0.015475082211196423,0.11027076467871666,0.0314026502892375,0.0,0.017887383699417114,-0.005931392379824388,0.1140818103104353,0.023715752042255567,-0.021475731030399015,-0.05982525072754008,-0.20862138715244738,-0.13192234775816525,-0.0053314354494515825,0.003796091123087833,-0.0011590077064024887,0.11117747335203901,0.015510250188621635,-0.019566777161030342,-0.05542783913560105,0.0,-0.0,0.07671776931843206,-0.2301533079552962,0.30687107727372825,-0.0,-0.0,0.0,0.0,-0.15343553863686413,-0.07671776931843206,0.07671776931843206,-0.30687107727372825,0.0
6,26.703302835999995,26.70526654,26.707188114,26.708242484,26.708402058,26.708406706,26.709380594999995,left_hip_pitch,22,1,0,6.7,28,115,3,1,1772,0,0.006541728740558028,0.10959561262279749,0.04090760089457035,0.0,0.009826995432376862,-0.22290639579296112,-0.11832666769623756,-0.012339267879724503,-0.008982323110103607,-0.01708774548023939,0.10964001156389713,0.029265842400491238,0.0,0.017597466707229614,-0.005931392379824388,0.1140818103104353,0.023715752042255567,-0.026077673394055978,-0.05062136600022615,-0.20862138715244738,-0.13192234775816525,-0.0053314354494515825,0.0022621103352020305,-0.00422696928217365,0.11117747335203901,0.017044230976506994,-0.024168719524687306,-0.05235987755982989,0.0,-0.0,-0.0,-0.30687107727372825,0.3835888465921603,-0.0,-0.0,0.0,-0.07671776931843206,-0.07671776931843206,0.0,0.07671776931843206,-0.2301533079552962,0.0
7,26.723397373,26.725397501999996,26.727301391,26.728332483999996,26.728490761999996,26.728495501999998,26.729479651000002,right_hip_pitch,12,1,0,6.6,28,1085,1,1,2116,0,0.004995158640667796,0.11027877125889063,0.03838914819061756,-0.0017645806074142456,0.0113920196890831,-0.21995027177035809,-0.11582295969128609,-0.013783326372504234,-0.00932848360389471,-0.017316837795078754,0.11010083463042974,0.029156585223972797,0.0,0.017695605754852295,-0.005931392379824388,0.1140818103104353,0.023715752042255567,-0.027611654181941336,-0.03988350048502687,-0.20862138715244738,-0.13192234775816525,-0.0053314354494515825,0.000728129547316228,-0.005760950070059452,0.11117747335203901,0.017044230976506994,-0.025702700312572664,-0.044689973620401766,0.0,-0.0,-0.0,-0.15343553863686413,0.5370243852290244,-0.0,-0.0,0.0,0.0,-0.15343553863686413,0.0,0.0,-0.07671776931843206,0.30687107727372825
8,26.743431077,26.74539691,26.747304890999995,26.748284168999998,26.748440391,26.748445725,26.74941728,left_knee,23,1,0,6.8,27,84,1,1,2066,50,0.00324355554766953,0.11019700299948454,0.037340300157666206,-0.0032194145023822784,0.008437231183052063,-0.22032773680984974,-0.11384549364447594,-0.016458237543702126,-0.007468665950000286,-0.018251686356961727,0.11019663792103529,0.02957382146269083,0.0,0.012644141912460327,-0.005931392379824388,0.1140818103104353,0.023715752042255567,-0.027611654181941336,-0.03067961575771294,-0.20862138715244738,-0.13192234775816525,-0.0053314354494515825,0.000728129547316228,-0.007294930857945255,0.11117747335203901,0.017044230976506994,-0.025702700312572664,-0.03702006968097364,0.0,-0.0,-0.0,-0.07671776931843206,0.5370243852290244,-0.0,-0.0,0.0,-0.07671776931843206,-0.07671776931843206,0.0,0.0,0.0,0.3835888465921603
9,26.763527428,26.765527316999997,26.767512651,26.768544336,26.768700409999997,26.768705447,26.769745151,right_knee,13,1,0,6.6,28,1135,2,1,2054,0,0.0012850540224462748,0.11088218446820974,0.037515921518206596,-0.005495566874742508,0.0065920390188694,-0.2168259136378765,-0.11058389022946358,-0.01716272160410881,-0.006387394852936268,-0.01741283480077982,0.110916368663311,0.028520026244223118,0.0,0.010861873626708984,-0.005931392379824388,0.1140818103104353,0.026783713618026728,-0.026077673394055978,-0.021475731030399015,-0.20862138715244738,-0.13192234775816525,-0.0053314354494515825,0.000728129547316228,-0.007294930857945255,0.11117747335203901,0.017044230976506994,-0.025702700312572664,-0.026282204165773912,0.0,-0.0,0.07671776931843206,-0.0,0.3835888465921603,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.5370243852290244
